ID,OppositionID,Date,Result,LocationID,Opposition Debutants,Debutants,Opposition tries in last 5 games,Tries in last 5 games,Opposition Rating,Rating,Games since last loss
1,2,19/06/2004,24,1,2,1,10,21,89.44,91.23,3
2,3,10/06/2005,91,9,1,4,18,19,73.27,90.9,4
3,2,19/11/2005,4,11,0,0,18,21,83.64,92.96,6
4,6,2/09/2006,-1,10,0,0,8,15,84.58,94.62,16
5,6,14/07/2007,27,4,0,0,18,28,84.82,93.29,1
6,6,5/07/2008,11,12,0,0,17,26,90.82,89.8,4
7,8,22/11/2008,20,8,0,0,11,28,79.58,92.42,8
8,1,19/09/2009,27,12,0,1,8,6,85.71,89.07,1
9,6,17/07/2010,14,12,0,0,19,25,88.74,92.4,11
10,3,22/07/2011,46,5,0,1,11,21,71.52,93.19,5
11,1,16/10/2011,14,1,0,0,26,38,87.21,90.62,6
12,6,6/10/2012,16,6,0,0,11,14,85.61,92.43,16
13,1,24/08/2013,11,12,0,1,7,16,85.41,91.55,5
14,2,7/06/2014,5,1,2,2,14,20,85.68,93.81,15
15,7,1/11/2014,68,3,1,1,15,16,67.3,93.15,2
16,4,24/09/2015,44,7,0,0,28,17,61.85,92.89,3
17,1,27/08/2016,20,12,1,1,13,25,84.23,96.3,13
18,5,16/06/2017,78,1,2,2,7,26,71.25,94.78,4
19,1,21/10/2017,-5,2,0,0,21,27,85.59,95.52,8
20,6,15/09/2018,-2,12,0,0,14,29,81.35,94.52,10
